  QueueTimes | ServiceTimes | SojournTimes

       0.079 |        0.608 |        0.687
       0.106 |        0.414 |        0.520
       0.079 |        0.928 |        1.007
       0.078 |        0.944 |        1.022
       0.134 |        0.362 |        0.496
       0.081 |        0.543 |        0.624
       0.079 |        0.606 |        0.685
       0.081 |        0.559 |        0.641
       0.080 |        0.921 |        1.001
       0.082 |        0.715 |        0.797
       0.082 |        0.819 |        0.901
       0.077 |        0.443 |        0.520
       0.111 |        0.394 |        0.505
       0.076 |        0.480 |        0.557
       0.080 |        0.714 |        0.795
       0.345 |        0.640 |        0.986
       0.110 |        0.282 |        0.393
       0.080 |        0.782 |        0.863
       0.088 |        0.697 |        0.786
       0.082 |        0.432 |        0.513
       0.114 |        0.413 |        0.527
       0.080 |        1.417 |        1.497
       0.085 |        1.280 |        1.365
       0.076 |        1.277 |        1.353
       0.286 |        0.496 |        0.782
       0.075 |        0.905 |        0.979
       0.100 |        0.316 |        0.415
       0.071 |        0.268 |        0.339
       0.071 |        0.200 |        0.271
       0.146 |        0.358 |        0.504
       0.085 |        0.698 |        0.783
       0.068 |        0.611 |        0.679
       0.076 |        0.308 |        0.383
       0.068 |        0.559 |        0.626
       0.073 |        0.385 |        0.459
       0.069 |        0.220 |        0.289
       0.072 |        0.647 |        0.719
       0.087 |        1.101 |        1.188
       0.074 |        0.659 |        0.733
       0.071 |        0.251 |        0.322
       0.072 |        0.801 |        0.873
       0.093 |        1.866 |        1.959
       0.067 |        0.990 |        1.057
       0.079 |        0.363 |        0.442
       0.079 |        0.360 |        0.439
       0.110 |        0.642 |        0.752
       0.081 |        0.446 |        0.527
       0.082 |        0.881 |        0.964
       0.079 |        0.155 |        0.234
       0.111 |        0.564 |        0.675
       0.081 |        0.671 |        0.752
       0.079 |        0.339 |        0.417
       0.077 |        2.090 |        2.167
       0.110 |        0.352 |        0.462
       0.080 |        0.547 |        0.627
       0.079 |        1.872 |        1.951
       0.079 |        1.310 |        1.389
       0.120 |        1.252 |        1.373
       0.082 |        1.906 |        1.988
       0.282 |        0.371 |        0.653
       0.078 |        1.683 |        1.761
       0.110 |        0.584 |        0.694
       0.081 |        0.281 |        0.362
       0.096 |        0.402 |        0.498
       0.079 |        1.040 |        1.120
       0.110 |        0.702 |        0.812
       0.081 |        0.603 |        0.685
       0.119 |        0.460 |        0.579
       0.078 |        1.767 |        1.845
       0.111 |        0.355 |        0.465
       0.080 |        0.362 |        0.443
       0.084 |        0.675 |        0.758
       0.078 |        0.352 |        0.430
       0.111 |        1.143 |        1.254
       0.081 |        0.394 |        0.475
       0.212 |        0.506 |        0.718
       0.080 |        0.393 |        0.473
       0.111 |        0.393 |        0.504
       0.081 |        0.413 |        0.494
       0.083 |        1.331 |        1.414
       0.079 |        0.709 |        0.787
       0.110 |        0.710 |        0.820
