Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
  219286    25520        0    89.6%            5        169
    1134      731        0    60.8%            6        172
    1246      520        0    70.6%            6        174
    1668      246        0    87.1%            6        175
    1595      286        0    84.8%            6        176
    1642      327        0    83.4%            6        177
    1263      333        0    79.1%            6        178
    1192      323        0    78.7%            6        180
    1194      291        0    80.4%            6        181
    1659      343        1    82.9%            6        182
    1692      194        0    89.7%            6        183
    1771      277        0    86.5%            6        184
    1728      143        0    92.4%            6        185
    1652      215        0    88.5%            6        186
    1743      322        0    84.4%            6        187
    1286      248        0    83.8%            6        188
    1264      175        0    87.8%            6        189
    1373      281        0    83.0%            6        190
    1284      127        0    91.0%            6        190
    1233      324        0    79.2%            6        191
    1350      377        1    78.2%            6        193
    1725      263        0    86.8%            6        194
    1695      219        0    88.6%            6        195
    1652      306        0    84.4%            6        196
    1690      343        0    83.1%            6        197
    1401      201        0    87.5%            6        198
    1682      218        0    88.5%            6        199
    1347      196        0    87.3%            6        200
    1749      333        0    84.0%            6        202
    1273      226        0    84.9%            6        202
    1272      169        0    88.3%            6        203
    1528      176        0    89.7%            6        204
    1292      159        0    89.0%            6        204
    1389      131        0    91.4%            6        205
    1325      172        0    88.5%            6        206
    1401      160        0    89.8%            6        207
    1275      275        0    82.3%            6        207
    1390      153        0    90.1%            6        208
    1373      106        0    92.8%            6        209
    1360      219        0    86.1%            6        209
    1269      141        0    90.0%            6        210
    1317      263        0    83.4%            6        211
    1684      106        0    94.1%            6        212
    1773      193        0    90.2%            6        213
    1724      211        0    89.1%            6        214
    1860      123        0    93.8%            6        214
    1771       95        1    94.9%            6        214
    1459       94        0    93.9%            6        215
    1370      160        0    89.5%            6        216
    1811       88        0    95.4%            6        216
    1415      131        0    91.5%            6        216
    1523      109        0    93.3%            6        217
    1271      156        0    89.1%            6        217
    1351      200        0    87.1%            6        218
    1720      331        0    83.9%            6        219
    1307       90        0    93.6%            6        220
    1330       80        0    94.3%            6        220
    1376      102        0    93.1%            6        221
    1482      119        0    92.6%            6        221
    1369      242        0    85.0%            6        222
    1355       80        0    94.4%            6        222
    1360      168        0    89.0%            6        223
    1389      141        0    90.8%            6        224
   42452       46        6    99.9%            6        224
    1588        0        0   100.0%            6        224
    1604        0        0   100.0%            6        224
    1612        0        0   100.0%            6        224
    1611        0        7   100.0%            6        224
    1585        0        0   100.0%            6        224
    1605        0        0   100.0%            6        224
    1612        0        0   100.0%            6        224
    1601        0        0   100.0%            6        224
    1589        0        0   100.0%            6        224
    1606        0        0   100.0%            6        224
    1600        0        0   100.0%            6        224
    1589        0        0   100.0%            6        224
    1609        0        0   100.0%            6        224
    1603        0        0   100.0%            6        224
    1609        0        0   100.0%            6        224
    1613        0        0   100.0%            6        224
    1615       75        0    95.6%            7        224
    1590        0        0   100.0%            7        224
    1589        0        0   100.0%            7        224
    1612        0        0   100.0%            7        224
    1600        0        0   100.0%            7        224
    1590        0        0   100.0%            7        224

Ending tracing...
