You did not select any stats, using -cdngy by default.
[7l--total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
  3   0  96   1   0| 113k  689k|   0     0 |9112B   42k|4651   635 
 22  13  63   2   0|  29M    0 | 600B    0 |   0     0 | 148k  497k
 47  12  41   0   0|   0     0 | 600B    0 |   0     0 | 331k  283k
 61   8  30   1   0|4936k    0 | 540B    0 |   0     0 |1507k 7110 
 95   5   0   0   0| 256k   44k| 480B    0 |   0     0 |1229k 1295 
 97   2   1   0   0|1648k 8192B| 600B    0 |   0     0 | 350k 2494 
 98   1   1   0   0|1312k    0 | 600B    0 |   0     0 | 182k 1365 
 98   2   0   0   0|1096k    0 | 600B    0 |   0     0 | 116k 1704 
 98   1   0   0   0|1440k    0 | 540B    0 |   0     0 | 163k  851 
 98   2   0   0   0| 956k    0 | 540B    0 |   0     0 | 175k  780 
 97   2   1   0   0|1192k   12k| 600B    0 |   0     0 | 364k 1374 
 98   1   1   0   0|1384k    0 | 600B    0 |   0     0 | 129k 1897 
 98   1   1   0   0| 768k    0 | 600B    0 |   0     0 |  72k  451 
 98   1   1   0   0|1084k    0 | 540B    0 |   0     0 | 126k  839 
 98   2   1   0   0| 884k    0 | 480B    0 |   0     0 | 331k 1004 
 97   2   0   0   0| 756k    0 | 600B    0 |   0     0 | 465k  423 
 97   2   1   0   0|1300k   12k| 600B    0 |   0     0 | 428k  552 
 97   2   1   0   0| 740k    0 | 540B    0 |   0     0 | 280k  767 
 96   1   3   0   0| 860k    0 | 540B    0 |   0     0 |  58k  783 
 97   2   1   0   0| 964k    0 | 540B    0 |   0     0 |  85k 1622 
 97   2   1   0   0| 636k    0 | 600B    0 |   0     0 | 288k  564 
 97   2   0   0   0| 768k    0 | 600B    0 |   0     0 | 584k  328 
 97   2   0   0   0|1520k   12k| 600B    0 |   0     0 | 589k  490 
 97   2   1   0   0|1248k    0 | 540B    0 |   0     0 | 356k  449 
 96   2   2   0   0| 552k    0 | 540B    0 |   0     0 | 150k 1219 
 96   2   3   0   0|1444k    0 | 600B    0 |   0     0 | 152k 1409 
 97   2   1   0   0| 876k    0 | 600B    0 |   0     0 |  77k 1107 
 97   1   1   0   0|1500k    0 | 600B    0 |   0     0 |  60k 1495 
 97   2   1   0   0| 688k   12k| 672B  100B|   0     0 | 104k 1575 
 97   1   2   0   0|1052k    0 | 614B  293B|   0     0 | 139k  429 
 98   2   0   0   0| 728k   32k| 600B  153B|   0     0 | 235k  452 
 91   6   3   0   0|1052k    0 | 600B  153B|   0     0 |1450k  420 
 96   3   1   0   0| 708k    0 | 600B  153B|   0     0 | 905k  376 
 98   2   0   0   0|1180k    0 | 540B    0 |   0     0 | 163k  358 
 97   1   2   0   0| 408k   12k| 480B    0 |   0     0 | 299k  419 
 96   3   0   0   0| 640k    0 | 600B  153B|   0     0 | 718k 1513 
 96   2   2   0   0| 704k 8192B| 600B    0 |   0     0 | 334k 1619 
 96   2   1   0   0| 580k    0 | 540B    0 |   0     0 | 335k 1556 
 97   2   1   0   0| 548k    0 | 480B    0 |   0     0 | 193k 1442 
 97   2   1   0   0| 592k    0 | 480B    0 |   0     0 | 126k 1474 
 97   2   1   0   0| 764k   20k| 600B    0 |   0     0 |  91k 1468 
 97   2   1   0   0|1172k    0 | 600B  153B|   0     0 | 143k 1647 
 97   2   1   0   0| 332k    0 | 600B    0 |   0     0 | 259k 1510 
 97   2   1   0   0| 888k    0 | 540B    0 |   0     0 |  52k 1404 
 97   1   2   0   0| 492k    0 | 540B    0 |   0     0 |  70k 1019 
 97   2   1   0   0| 968k   12k| 600B    0 |   0     0 |  52k 1088 
 98   1   1   0   0| 820k    0 | 600B    0 |   0     0 | 104k  627 
