  QueueTimes | ServiceTimes | SojournTimes

     662.839 |     5647.379 |     6310.218
     633.537 |     6264.796 |     6898.333
     580.149 |     6824.321 |     7404.469
     597.580 |     6944.618 |     7542.198
     452.178 |     7297.747 |     7749.925
     653.129 |     7004.727 |     7657.856
     843.029 |     7037.622 |     7880.651
     901.162 |     7554.833 |     8455.995
    5558.176 |     2674.220 |     8232.395
    4829.716 |     3453.531 |     8283.247
     652.725 |     7921.739 |     8574.464
     677.419 |     8421.249 |     9098.668
    1105.809 |     8548.631 |     9654.439
    1040.620 |     8655.383 |     9696.003
     459.124 |     2974.409 |     3433.533
     650.862 |     9276.070 |     9926.932
    2117.423 |     2090.046 |     4207.469
    2109.382 |     2329.580 |     4438.962
    3047.105 |     7649.567 |    10696.671
    3427.352 |     1199.300 |     4626.652
    5520.599 |     5429.174 |    10949.773
    5390.467 |     5609.242 |    10999.709
    3525.270 |     1362.327 |     4887.597
    1158.533 |     4337.828 |     5496.360
     504.721 |    11476.715 |    11981.436
    1201.726 |     4443.865 |     5645.591
     831.120 |    11433.648 |    12264.769
    1068.886 |     5238.582 |     6307.469
    2123.194 |     4692.289 |     6815.482
     772.613 |    12430.905 |    13203.518
     826.377 |    12636.008 |    13462.384
    3608.292 |     3502.149 |     7110.442
     613.209 |    12898.099 |    13511.308
     584.134 |     6829.480 |     7413.613
    6028.896 |     7580.371 |    13609.267
     708.446 |    13149.976 |    13858.422
    1710.287 |     6673.826 |     8384.113
    5434.667 |     2840.648 |     8275.315
    4327.702 |     4056.532 |     8384.234
     659.684 |    14205.471 |    14865.156
    5394.456 |     9401.256 |    14795.712
    5361.205 |     3862.062 |     9223.267
    4846.905 |     4379.571 |     9226.477
    5102.629 |     4224.946 |     9327.576
     691.669 |    15289.179 |    15980.848
    5408.906 |    10853.681 |    16262.586
    7096.588 |     3005.651 |    10102.238
    5212.599 |     5719.592 |    10932.191
    8837.141 |     2059.945 |    10897.086
    8306.409 |     2672.955 |    10979.363
    7971.577 |     3070.323 |    11041.900
    7181.490 |     3953.166 |    11134.656
    3520.466 |     7871.491 |    11391.956
    7447.041 |     4135.381 |    11582.422
     767.683 |    17813.691 |    18581.373
    5517.687 |     6536.058 |    12053.745
    6034.482 |    13019.368 |    19053.850
    3543.698 |     9640.994 |    13184.692
    5067.710 |     8465.020 |    13532.729
    9505.178 |     4091.189 |    13596.367
    8186.119 |     5466.226 |    13652.346
    8224.369 |     5539.165 |    13763.534
    6758.246 |     7184.499 |    13942.745
    2053.843 |    12234.448 |    14288.291
    9103.752 |     5319.858 |    14423.610
    2223.151 |    12612.359 |    14835.510
   11195.784 |     3503.107 |    14698.891
   13748.462 |      917.686 |    14666.148
   11045.489 |     3701.353 |    14746.843
   13434.463 |     1267.214 |    14701.677
   13661.621 |     1592.522 |    15254.143
    6052.795 |     9734.097 |    15786.893
    9454.832 |     6230.826 |    15685.658
   13208.085 |     2386.356 |    15594.440
    1475.503 |    14691.577 |    16167.080
   10776.072 |     5140.249 |    15916.321
    9098.941 |     6943.481 |    16042.422
   11332.866 |     5188.560 |    16521.426
   11984.626 |     4619.921 |    16604.547
   15252.620 |     1246.327 |    16498.946
    8323.429 |     8424.391 |    16747.819
   14129.861 |     2610.335 |    16740.196
   11045.948 |     5887.185 |    16933.133
   15517.230 |     1471.158 |    16988.388
   13653.828 |     3508.385 |    17162.213
    5663.849 |    12013.020 |    17676.869
   16266.969 |     1143.428 |    17410.397
   14642.134 |     2997.606 |    17639.740
   16632.436 |     1110.184 |    17742.620
    7022.457 |    11221.789 |    18244.246
   11454.169 |     7405.478 |    18859.647
    9353.158 |     9672.782 |    19025.940
    5006.985 |    14151.655 |    19158.640
   14893.685 |     3913.510 |    18807.195
   15794.471 |     2954.351 |    18748.822
    6137.200 |    13129.190 |    19266.390
   17415.412 |     1548.873 |    18964.285
   17126.088 |     2393.079 |    19519.167
   15019.906 |     4630.768 |    19650.674
   17394.419 |     2718.058 |    20112.477
   19685.927 |      459.079 |    20145.006
   11313.600 |     9426.579 |    20740.179
   13265.425 |     7785.939 |    21051.364
   12932.991 |     8252.982 |    21185.974
   15873.409 |     5302.895 |    21176.304
   16447.067 |     5051.817 |    21498.884
   18062.152 |     3212.435 |    21274.587
   18982.709 |     2203.856 |    21186.566
   16560.617 |     4897.186 |    21457.803
   10785.954 |    10997.644 |    21783.598
   13439.238 |     8446.523 |    21885.762
   19224.474 |     2345.908 |    21570.381
   15595.419 |     6220.965 |    21816.384
   17020.256 |     4675.185 |    21695.441
   15769.604 |     6078.731 |    21848.336
   16723.118 |     5137.094 |    21860.212
   18559.225 |     3226.779 |    21786.004
    7202.925 |    15422.193 |    22625.118
   20677.952 |     1343.141 |    22021.093
   17680.883 |     4602.329 |    22283.212
   19910.273 |     2630.216 |    22540.490
   17071.318 |     5839.201 |    22910.519
   18633.600 |     4189.765 |    22823.365
   20181.219 |     2970.233 |    23151.452
   18529.260 |     4861.804 |    23391.065
   17227.784 |     6254.819 |    23482.602
   14617.651 |     9120.664 |    23738.314
   16348.172 |     7526.182 |    23874.354
   21413.619 |     2160.021 |    23573.640
   22973.271 |      630.590 |    23603.861
   21476.639 |     2391.911 |    23868.550
   19369.117 |     5082.918 |    24452.035
   19524.327 |     5104.671 |    24628.998
   21134.149 |     3367.185 |    24501.334
   22020.488 |     2342.666 |    24363.155
   21506.004 |     2939.712 |    24445.716
   21224.662 |     3506.384 |    24731.046
   22464.804 |     2321.557 |    24786.361
   21152.317 |     3984.207 |    25136.523
