  QueueTimes | ServiceTimes | SojournTimes

      23.056 |     5463.952 |     5487.008
       0.064 |     5697.374 |     5697.438
       7.661 |     6435.815 |     6443.475
      73.434 |     6262.797 |     6336.231
       0.077 |     6552.169 |     6552.246
       0.068 |     6753.075 |     6753.143
       4.855 |     7133.513 |     7138.369
      20.341 |     7145.531 |     7165.872
       0.070 |     7338.561 |     7338.631
       0.067 |     7404.966 |     7405.033
    3072.823 |     4373.212 |     7446.035
       0.094 |     8810.335 |     8810.429
       0.062 |     9271.151 |     9271.213
       0.069 |     9439.984 |     9440.052
    1583.367 |     3000.103 |     4583.470
    2170.355 |     7790.328 |     9960.683
       0.068 |    10204.699 |    10204.767
       0.072 |    10258.047 |    10258.120
       8.752 |    10471.759 |    10480.512
       0.064 |    10614.352 |    10614.416
    4500.762 |      805.453 |     5306.215
     180.083 |     5809.449 |     5989.532
       0.073 |    11553.284 |    11553.356
    3640.144 |     2444.821 |     6084.965
      17.642 |     6366.072 |     6383.714
    4630.107 |     7010.566 |    11640.673
    3822.874 |     7862.806 |    11685.680
    1140.734 |     5344.876 |     6485.611
      14.599 |    11892.695 |    11907.294
    4770.576 |     7291.694 |    12062.270
    3278.485 |     3545.474 |     6823.960
      18.527 |     7215.586 |     7234.113
       0.066 |    12903.523 |    12903.589
    1027.559 |     7121.163 |     8148.722
    5953.120 |     2364.889 |     8318.008
    3419.437 |    10431.644 |    13851.081
    4608.809 |     9473.962 |    14082.772
    4817.058 |     4545.448 |     9362.506
       0.066 |    15318.160 |    15318.226
    5036.113 |     9995.431 |    15031.544
    6652.808 |     3026.209 |     9679.018
    6556.716 |     3417.458 |     9974.175
    4643.903 |     5564.000 |    10207.903
    2018.083 |     8528.108 |    10546.192
    4689.120 |     5834.255 |    10523.374
    1280.824 |     9411.115 |    10691.939
    7863.439 |     2901.585 |    10765.025
    8248.182 |     2870.270 |    11118.452
       0.067 |    16835.474 |    16835.542
    5777.804 |     5714.959 |    11492.763
    2002.253 |     9916.855 |    11919.107
    2076.359 |     9816.638 |    11892.997
    8271.632 |     3450.787 |    11722.418
    4977.746 |     7642.037 |    12619.782
    4544.957 |     8259.293 |    12804.250
    6126.348 |     6732.998 |    12859.346
    3946.960 |     9345.346 |    13292.306
    5228.929 |     8027.214 |    13256.143
    6147.991 |     7245.737 |    13393.728
    8658.549 |     4812.513 |    13471.062
    1528.719 |    12482.483 |    14011.202
   11510.555 |     2440.861 |    13951.416
    9888.910 |     4187.199 |    14076.109
    9190.238 |     5268.545 |    14458.783
    6159.840 |     8489.433 |    14649.273
    9458.079 |     5753.072 |    15211.150
    9444.195 |     5942.550 |    15386.744
    7101.906 |     8468.241 |    15570.147
   13515.747 |     1807.569 |    15323.316
    1184.462 |    14980.323 |    16164.785
    9613.105 |     6247.396 |    15860.501
   11281.461 |     4506.698 |    15788.159
   10992.014 |     4822.136 |    15814.151
   12931.810 |     3224.374 |    16156.183
    4672.819 |    17260.405 |    21933.225
   10239.196 |     6071.111 |    16310.307
   12405.459 |     3864.366 |    16269.825
   14236.078 |     2179.399 |    16415.477
    9966.448 |     6899.395 |    16865.843
   10270.393 |     6676.982 |    16947.375
   16040.160 |      735.431 |    16775.591
   13408.609 |     3577.603 |    16986.212
   13865.410 |     3124.513 |    16989.922
    6536.510 |    10767.388 |    17303.898
   15011.445 |     2030.350 |    17041.795
    7288.023 |    10188.426 |    17476.449
   11549.040 |     5804.648 |    17353.688
   15269.128 |     2033.941 |    17303.069
   15606.437 |     1746.793 |    17353.230
   16006.184 |     1550.202 |    17556.386
   12606.402 |     5133.864 |    17740.266
    5915.754 |    12224.157 |    18139.912
   10322.073 |     7653.575 |    17975.648
   13882.846 |     4034.755 |    17917.601
   11506.818 |     6628.386 |    18135.204
   16620.741 |     1331.856 |    17952.597
   17143.634 |      876.249 |    18019.883
   16779.120 |     1332.039 |    18111.159
   12445.864 |     6114.130 |    18559.994
    6281.775 |    12964.895 |    19246.670
   10627.712 |     8499.223 |    19126.935
   16740.363 |     2111.879 |    18852.242
   16832.618 |     2123.126 |    18955.744
   17589.830 |     1433.312 |    19023.142
   15600.450 |     3819.326 |    19419.776
   16028.085 |     4061.893 |    20089.979
   18752.481 |     1051.009 |    19803.490
   17412.595 |     2618.070 |    20030.665
   16759.225 |     3417.901 |    20177.126
   17702.749 |     2481.612 |    20184.361
   12878.373 |     7686.697 |    20565.071
   17909.317 |     2334.525 |    20243.842
   17967.201 |     2414.628 |    20381.829
   15139.862 |     5588.685 |    20728.547
   13106.061 |     7766.231 |    20872.293
   17437.958 |     3198.743 |    20636.701
   16260.981 |     4480.269 |    20741.251
   17519.322 |     3088.342 |    20607.664
   17903.743 |     2664.681 |    20568.424
   17116.695 |     3767.573 |    20884.268
   16803.461 |     4170.647 |    20974.109
   16510.161 |     4537.366 |    21047.527
   20026.308 |      784.807 |    20811.116
   18125.570 |     3104.193 |    21229.762
   18568.840 |     2892.596 |    21461.437
   18906.788 |     2670.669 |    21577.457
   20078.198 |     1474.891 |    21553.089
   16971.082 |     5659.359 |    22630.442
   14325.129 |     8604.157 |    22929.286
   20485.433 |     1822.892 |    22308.326
   11112.203 |    12010.385 |    23122.589
   20290.498 |     2855.080 |    23145.578
   19809.854 |     3500.775 |    23310.629
   20314.157 |     2966.836 |    23280.993
   20224.044 |     3121.195 |    23345.239
   15569.468 |     8267.643 |    23837.112
   17201.185 |     6606.835 |    23808.021
   20943.398 |     2941.508 |    23884.905
   20561.482 |     3416.604 |    23978.086
   20220.657 |     4299.341 |    24519.998
   15257.604 |     9881.838 |    25139.442
   18604.441 |     6595.855 |    25200.296
   19751.897 |     5445.115 |    25197.012
   19043.345 |     6473.116 |    25516.461
   23063.364 |     2447.346 |    25510.710
   19880.923 |     5903.501 |    25784.424
   19715.460 |     6407.103 |    26122.563
   16049.281 |    10444.599 |    26493.880
   23265.333 |     2726.568 |    25991.901
   20009.074 |     6597.850 |    26606.924
   22278.005 |     4253.622 |    26531.627
   23912.364 |     2608.973 |    26521.337
   20529.406 |     6342.672 |    26872.078
   20273.959 |     7092.992 |    27366.950
