  QueueTimes | ServiceTimes | SojournTimes

       0.071 |     2120.668 |     2120.740
       0.090 |     1983.181 |     1983.271
       0.066 |     2214.147 |     2214.213
       0.062 |     2282.943 |     2283.005
       0.082 |     2021.391 |     2021.472
       0.062 |     2377.767 |     2377.829
       0.079 |     2164.793 |     2164.872
    1136.105 |      974.064 |     2110.169
       0.075 |     2377.650 |     2377.725
       0.086 |     2906.772 |     2906.859
       0.081 |     2840.624 |     2840.705
     837.581 |     2035.777 |     2873.358
     195.877 |      799.031 |      994.908
       0.083 |     3006.857 |     3006.941
       0.067 |     3200.982 |     3201.049
       0.075 |     3204.706 |     3204.781
       0.076 |     3222.396 |     3222.472
      41.809 |     1297.656 |     1339.465
    1386.961 |     1855.223 |     3242.184
       0.067 |     1397.193 |     1397.260
    1464.458 |     1848.222 |     3312.680
       0.066 |     3620.314 |     3620.380
     945.822 |      557.144 |     1502.966
     912.280 |      637.388 |     1549.667
     938.685 |      626.909 |     1565.594
    1774.119 |     1790.261 |     3564.381
    1610.051 |     2068.722 |     3678.773
     100.337 |     1797.511 |     1897.848
       0.073 |     3929.945 |     3930.018
       0.075 |     3958.964 |     3959.039
      99.240 |     1783.773 |     1883.013
      20.543 |     2259.764 |     2280.307
    1407.237 |      649.915 |     2057.152
       0.075 |     4399.329 |     4399.404
       0.128 |     4304.678 |     4304.806
       0.082 |     4424.733 |     4424.815
    1628.420 |      798.012 |     2426.432
    1183.686 |     1372.733 |     2556.419
    1237.612 |     3368.492 |     4606.105
       0.079 |     4653.071 |     4653.150
    1227.537 |     1423.257 |     2650.794
     172.549 |     2603.940 |     2776.489
       0.063 |     4965.940 |     4966.003
    1380.174 |     3394.522 |     4774.696
     444.078 |     2590.068 |     3034.146
    1061.971 |     1917.781 |     2979.752
    1037.420 |     2120.030 |     3157.450
    2087.356 |      921.748 |     3009.104
    1188.438 |     1918.837 |     3107.275
    1302.706 |     1819.356 |     3122.062
    1633.547 |     1425.401 |     3058.947
    2196.224 |      862.381 |     3058.605
     844.712 |     2584.705 |     3429.417
    1427.260 |     1931.783 |     3359.043
     928.447 |     3025.995 |     3954.442
     844.352 |     3287.243 |     4131.595
    1274.290 |     2968.264 |     4242.554
    1601.199 |     2607.488 |     4208.687
    2452.861 |     1698.560 |     4151.421
    2852.812 |     1281.856 |     4134.668
    1601.669 |     4797.119 |     6398.788
     170.373 |     4487.609 |     4657.982
    2909.541 |     1337.569 |     4247.110
    1504.623 |     2992.288 |     4496.911
    1403.347 |     3138.772 |     4542.119
    2538.924 |     1978.757 |     4517.681
      97.119 |     4886.708 |     4983.827
    2004.448 |     2803.487 |     4807.935
    2083.337 |     2734.358 |     4817.695
    2680.220 |     2103.170 |     4783.390
    2379.647 |     2517.321 |     4896.968
    3126.072 |     1656.595 |     4782.666
    2873.016 |     1928.364 |     4801.380
    2471.401 |     2455.488 |     4926.889
    2379.345 |     2615.869 |     4995.214
    1632.872 |     3463.253 |     5096.125
    3924.012 |     1061.713 |     4985.726
    4040.647 |      952.415 |     4993.062
    4507.914 |      544.189 |     5052.102
    4181.565 |      933.597 |     5115.162
    2398.950 |     2951.743 |     5350.693
    1982.921 |     3422.363 |     5405.285
    4044.227 |     1145.908 |     5190.135
    4333.493 |      836.461 |     5169.954
    2881.149 |     2464.914 |     5346.062
    2450.944 |     3031.461 |     5482.405
    2432.192 |     3158.981 |     5591.172
    3020.172 |     2457.303 |     5477.474
    4158.937 |     1240.896 |     5399.833
    4812.340 |      534.147 |     5346.487
    4604.898 |      827.487 |     5432.385
    4937.941 |      557.243 |     5495.184
    2849.719 |     2970.695 |     5820.413
    3581.089 |     2258.058 |     5839.147
    4961.601 |      613.227 |     5574.829
    2705.590 |     3232.357 |     5937.947
    2860.642 |     3132.842 |     5993.484
    4150.630 |     1776.791 |     5927.421
    5134.180 |      687.486 |     5821.667
    1632.622 |     4791.606 |     6424.228
    4950.426 |     1075.206 |     6025.633
    5443.335 |      500.342 |     5943.677
    3705.901 |     2695.369 |     6401.270
    4627.593 |     1640.993 |     6268.586
    3920.665 |     2672.145 |     6592.810
    5013.640 |     1324.744 |     6338.384
    4981.949 |     1436.484 |     6418.433
    5437.750 |     1035.443 |     6473.193
    5248.032 |     1384.844 |     6632.876
    5448.369 |     1200.866 |     6649.235
    4612.204 |     2302.793 |     6914.997
    5916.234 |      765.076 |     6681.310
    4642.740 |     2415.026 |     7057.765
    5150.105 |     1787.153 |     6937.258
    4929.249 |     2228.023 |     7157.272
    4824.378 |     2391.283 |     7215.661
    4909.398 |     2524.420 |     7433.818
    5239.754 |     2169.207 |     7408.961
    6492.310 |      679.053 |     7171.363
    5406.459 |     1971.368 |     7377.828
    5556.262 |     1833.797 |     7390.059
    5505.776 |     1970.083 |     7475.859
    5041.673 |     2560.352 |     7602.025
    5677.800 |     1809.220 |     7487.020
    4546.153 |     3334.858 |     7881.010
    5150.543 |     2575.193 |     7725.736
    5780.803 |     1960.590 |     7741.393
    4434.585 |     3727.057 |     8161.642
    5960.266 |     1815.317 |     7775.583
    6602.949 |     1222.378 |     7825.327
    4201.678 |     4205.286 |     8406.964
    7200.685 |      571.965 |     7772.650
    7044.197 |      838.414 |     7882.611
    6322.059 |     1992.930 |     8314.989
    4504.813 |     4337.633 |     8842.446
    6635.961 |     1878.199 |     8514.160
    6796.679 |     1685.819 |     8482.498
    6099.947 |     2567.617 |     8667.564
    7173.371 |     1362.715 |     8536.086
    6411.408 |     2411.557 |     8822.965
    5839.932 |     3067.238 |     8907.170
    6141.058 |     2845.864 |     8986.922
    7047.045 |     1918.854 |     8965.899
    4671.149 |     4816.035 |     9487.184
    7774.121 |     1169.982 |     8944.103
    6626.427 |     2712.453 |     9338.881
    7103.974 |     2146.410 |     9250.384
    3981.843 |     5986.753 |     9968.595
    6788.047 |     2765.697 |     9553.744
    4582.451 |     5491.664 |    10074.116
    8255.910 |     1152.245 |     9408.155
    8488.096 |      924.836 |     9412.932
    8268.834 |     1300.098 |     9568.932
    7504.082 |     2170.301 |     9674.383
    6095.349 |     3831.013 |     9926.362
    7489.951 |     2274.024 |     9763.975
    8516.380 |     1305.460 |     9821.840
    8387.605 |     1511.189 |     9898.794
    7696.651 |     2317.787 |    10014.438
    5738.826 |     4650.799 |    10389.625
    9057.275 |      874.473 |     9931.747
    6474.026 |     3881.590 |    10355.616
    7682.450 |     2446.108 |    10128.557
    7485.584 |     2697.932 |    10183.516
    9659.330 |      271.065 |     9930.395
    8609.821 |     1531.603 |    10141.424
    9223.589 |     1030.343 |    10253.932
    8749.840 |     1617.353 |    10367.193
    8326.259 |     2192.652 |    10518.911
    5392.417 |     5663.431 |    11055.848
    9236.207 |     1207.116 |    10443.323
    8729.437 |     1809.904 |    10539.342
    9449.799 |     1152.591 |    10602.390
    9734.006 |      878.901 |    10612.907
    8818.627 |     1900.310 |    10718.937
    7035.271 |     4001.201 |    11036.472
    7290.448 |     3718.069 |    11008.517
    7289.746 |     3728.235 |    11017.980
    9417.370 |     1415.332 |    10832.702
    9013.630 |     1956.911 |    10970.542
    8111.579 |     3048.790 |    11160.369
    7605.783 |     3616.375 |    11222.157
   10117.246 |      807.793 |    10925.039
    9324.300 |     1736.540 |    11060.840
   10278.380 |      709.184 |    10987.564
    9028.433 |     2168.268 |    11196.701
   10311.477 |      772.243 |    11083.720
   10453.275 |      686.768 |    11140.044
    9784.542 |     1652.595 |    11437.137
   10771.686 |      581.382 |    11353.068
    9452.681 |     2247.638 |    11700.318
   10292.610 |     1381.907 |    11674.517
    9970.384 |     1818.951 |    11789.336
   10523.659 |     1199.968 |    11723.628
   10198.024 |     1749.229 |    11947.252
   10909.222 |     1162.620 |    12071.843
   11424.886 |      665.733 |    12090.620
    9505.045 |     3053.595 |    12558.640
   10813.967 |     1444.839 |    12258.806
   10682.118 |     1714.441 |    12396.559
   10450.145 |     2076.742 |    12526.887
    9852.052 |     2843.705 |    12695.756
   11148.395 |     1270.198 |    12418.593
   10743.466 |     1827.289 |    12570.754
   12178.331 |      298.569 |    12476.900
   12046.171 |      473.078 |    12519.248
   10418.802 |     2361.093 |    12779.895
    8063.029 |     5154.379 |    13217.408
   11309.334 |     1446.810 |    12756.144
    6985.590 |     6470.501 |    13456.091
   10281.075 |     2743.905 |    13024.980
   10513.918 |     2461.834 |    12975.752
   10993.561 |     1940.728 |    12934.289
    9768.658 |     3457.817 |    13226.475
   10730.117 |     2278.071 |    13008.188
   10541.899 |     2714.163 |    13256.062
   11506.415 |     1759.549 |    13265.964
   11632.869 |     1614.305 |    13247.175
    9816.203 |     3857.221 |    13673.424
   10755.740 |     2772.252 |    13527.992
   12274.134 |     1275.906 |    13550.040
    9845.652 |     4110.504 |    13956.155
   11335.367 |     2390.405 |    13725.772
    7176.650 |     7347.287 |    14523.937
   12418.521 |     1356.572 |    13775.093
   12145.372 |     1669.079 |    13814.451
   10767.027 |     3296.683 |    14063.710
   12746.470 |     1039.720 |    13786.189
   12459.346 |     1502.790 |    13962.136
   13066.926 |     1060.603 |    14127.529
   11988.551 |     2328.839 |    14317.390
   10608.294 |     3910.614 |    14518.908
   13189.728 |      958.399 |    14148.127
    9265.698 |     5508.771 |    14774.468
   12639.565 |     1741.652 |    14381.217
   12481.826 |     1964.835 |    14446.661
   12750.478 |     1836.710 |    14587.188
   13629.529 |      828.723 |    14458.252
   11534.837 |     3208.433 |    14743.269
   12631.585 |     2033.409 |    14664.994
   12307.503 |     2523.359 |    14830.863
   13151.067 |     1557.531 |    14708.598
   12768.875 |     2147.037 |    14915.912
   13621.731 |     1276.256 |    14897.987
   12547.432 |     2567.852 |    15115.284
   12452.614 |     2756.481 |    15209.095
    9870.711 |     5721.257 |    15591.968
   13594.498 |     1474.518 |    15069.016
   13495.785 |     1689.613 |    15185.398
    9848.135 |     5916.299 |    15764.434
   13433.288 |     1878.691 |    15311.980
   13084.418 |     2298.204 |    15382.622
   14473.695 |      671.416 |    15145.110
   14463.179 |      680.946 |    15144.125
   12641.923 |     2866.184 |    15508.107
   14617.105 |      564.382 |    15181.487
   14015.411 |     1360.985 |    15376.396
   13399.249 |     2107.925 |    15507.174
   14134.860 |     1347.530 |    15482.391
   14186.685 |     1300.337 |    15487.022
   12146.258 |     3697.521 |    15843.780
   12683.277 |     3160.571 |    15843.848
   15159.769 |      511.447 |    15671.215
   13644.710 |     2327.273 |    15971.984
   14803.565 |      980.666 |    15784.231
   12307.773 |     3915.434 |    16223.207
   13767.842 |     2287.020 |    16054.862
   14018.407 |     2011.855 |    16030.261
   13622.809 |     2504.352 |    16127.160
   14670.302 |     1435.873 |    16106.174
   14908.188 |     1183.393 |    16091.581
   15152.358 |      995.533 |    16147.891
   14338.628 |     1956.081 |    16294.709
   14844.089 |     1392.226 |    16236.315
   15685.325 |      367.539 |    16052.864
   14366.046 |     1986.765 |    16352.811
   15066.460 |     1158.160 |    16224.620
   14360.173 |     2063.165 |    16423.338
   15065.043 |     1340.164 |    16405.207
   14022.681 |     2583.192 |    16605.872
   15686.247 |      699.037 |    16385.284
   15067.212 |     1429.708 |    16496.920
   14009.193 |     2892.061 |    16901.254
   14367.271 |     2746.103 |    17113.374
   15263.322 |     1663.395 |    16926.717
   16288.397 |      465.801 |    16754.198
   15619.571 |     1364.728 |    16984.299
   15262.560 |     1805.867 |    17068.427
   14026.617 |     3370.684 |    17397.302
   15025.376 |     2279.940 |    17305.316
   15996.713 |     1098.883 |    17095.596
   14738.437 |     2769.347 |    17507.784
   16020.038 |     1308.724 |    17328.762
   16031.386 |     1323.298 |    17354.684
   16008.682 |     1338.015 |    17346.697
   15631.321 |     1774.017 |    17405.338
   12895.524 |     5010.434 |    17905.958
   15675.050 |     1757.376 |    17432.426
   16965.288 |      366.531 |    17331.819
   16691.248 |      831.395 |    17522.643
   16437.181 |     1232.141 |    17669.321
   17177.481 |      397.805 |    17575.286
