  QueueTimes | ServiceTimes | SojournTimes

    1931.976 |     1387.723 |     3319.699
    1681.360 |     1871.622 |     3552.982
    1297.040 |     2199.431 |     3496.471
    2436.423 |      965.135 |     3401.557
    2586.601 |      694.210 |     3280.811
    2194.658 |     1112.210 |     3306.868
    2191.080 |     1265.660 |     3456.741
    2236.134 |     1540.889 |     3777.023
    1884.858 |     2084.787 |     3969.645
    2725.944 |     1233.251 |     3959.195
    2796.666 |     1600.646 |     4397.312
    2707.909 |     1768.457 |     4476.367
    2679.104 |     1906.504 |     4585.608
    2632.563 |     2049.509 |     4682.072
    2137.689 |     2830.686 |     4968.375
     614.816 |     1205.745 |     1820.561
    2646.837 |     2444.664 |     5091.501
    3117.450 |     2162.015 |     5279.465
     947.141 |     1371.452 |     2318.592
    3126.791 |     2407.641 |     5534.432
    3261.104 |     2433.418 |     5694.523
    3112.310 |     2446.462 |     5558.771
    2939.766 |     2816.546 |     5756.313
    3279.714 |     2548.173 |     5827.886
    2410.889 |      362.227 |     2773.117
    2961.562 |     3277.145 |     6238.707
    2600.123 |      384.138 |     2984.261
    2756.859 |      315.172 |     3072.032
    2294.681 |      996.065 |     3290.746
    1772.387 |     1638.015 |     3410.403
    2185.243 |     1437.731 |     3622.974
    3797.257 |     3268.851 |     7066.108
    3323.274 |     3604.277 |     6927.550
    3236.590 |     3669.440 |     6906.030
    2705.090 |     4443.986 |     7149.076
    2035.555 |     1676.487 |     3712.042
    2467.407 |     1305.730 |     3773.137
    2133.653 |     1566.722 |     3700.375
    3250.956 |      373.824 |     3624.780
    2479.469 |     1384.777 |     3864.246
    2383.279 |     1358.732 |     3742.010
    3028.570 |      628.834 |     3657.404
    5254.092 |     1758.773 |     7012.865
    4453.568 |     2712.646 |     7166.214
    2007.507 |     1966.225 |     3973.732
    2467.959 |     1374.510 |     3842.470
    1951.956 |     1988.558 |     3940.515
    2636.515 |     1203.517 |     3840.031
     205.594 |     3753.098 |     3958.692
    3197.936 |      766.093 |     3964.029
    2875.110 |     1077.789 |     3952.899
    5115.941 |     2300.737 |     7416.679
    3212.252 |      810.327 |     4022.578
    2779.524 |     1194.128 |     3973.652
    3009.923 |      992.408 |     4002.331
    3529.999 |      437.698 |     3967.697
    3030.983 |     4328.679 |     7359.662
