  QueueTimes | ServiceTimes | SojournTimes

     117.356 |     6124.434 |     6241.790
      77.796 |     6260.643 |     6338.439
      45.785 |     6480.799 |     6526.583
     146.357 |     6491.410 |     6637.767
     235.461 |     6382.123 |     6617.584
     205.914 |     6904.901 |     7110.815
    2603.259 |     4540.249 |     7143.508
      86.915 |     7590.274 |     7677.188
     250.492 |     7344.794 |     7595.286
    4234.493 |     3221.004 |     7455.497
     475.134 |     7600.870 |     8076.004
     158.508 |     8406.695 |     8565.203
    4111.181 |     4446.051 |     8557.232
     431.954 |     8887.767 |     9319.721
     390.042 |     8986.251 |     9376.293
      84.968 |     9600.131 |     9685.099
    2279.739 |     1231.395 |     3511.134
     224.636 |    10220.006 |    10444.643
     212.877 |    10430.221 |    10643.097
    1455.112 |     3082.828 |     4537.940
      97.458 |    11336.781 |    11434.239
     423.107 |     4918.953 |     5342.060
    2506.507 |     2827.660 |     5334.167
    3258.456 |     2069.488 |     5327.944
      11.639 |     5620.849 |     5632.488
      10.200 |     5784.609 |     5794.809
      89.295 |     5799.858 |     5889.153
    1431.487 |     4510.089 |     5941.576
    1157.927 |     4966.544 |     6124.471
    1444.189 |     5385.007 |     6829.196
    3490.036 |     3269.119 |     6759.155
     216.225 |    12849.976 |    13066.201
     219.489 |    12841.969 |    13061.458
    5407.984 |     1342.227 |     6750.212
    5878.977 |     7419.698 |    13298.675
     260.040 |     7278.932 |     7538.972
    5222.975 |     2098.675 |     7321.650
    6615.933 |     1099.974 |     7715.906
    6711.281 |     1096.611 |     7807.892
     505.243 |     7820.493 |     8325.735
     244.430 |    14639.663 |    14884.093
    6613.274 |     2093.416 |     8706.690
    4561.634 |    10421.185 |    14982.819
    5909.626 |     9081.878 |    14991.504
    4403.756 |     4594.602 |     8998.358
    5845.490 |     9501.463 |    15346.954
    5027.928 |     4495.275 |     9523.203
    4324.862 |     5575.545 |     9900.407
    5544.000 |     5226.913 |    10770.912
    4439.844 |     6889.329 |    11329.172
    8639.844 |     2632.345 |    11272.189
     410.609 |    17241.264 |    17651.873
     336.371 |    17443.451 |    17779.822
     539.025 |    17207.048 |    17746.073
    4135.971 |    13739.757 |    17875.727
    5071.978 |    12993.086 |    18065.064
    8790.533 |     3087.278 |    11877.810
    7104.805 |     5058.275 |    12163.080
    7233.850 |     4918.562 |    12152.412
    7672.727 |     4729.313 |    12402.039
    2024.623 |    10830.211 |    12854.834
    3363.521 |    10163.458 |    13526.979
    7255.296 |     6369.896 |    13625.192
    3249.499 |    10909.679 |    14159.178
    8070.497 |     5895.716 |    13966.213
    9612.183 |     4466.696 |    14078.879
    1039.329 |    13691.201 |    14730.530
    5180.465 |     9425.576 |    14606.041
   12203.411 |     2187.474 |    14390.886
   11938.993 |     2845.284 |    14784.278
   12411.223 |     2412.548 |    14823.771
    5215.192 |    10009.609 |    15224.802
    7772.559 |     7430.946 |    15203.505
   11191.032 |     4201.975 |    15393.007
    9313.677 |     6224.308 |    15537.985
   14899.966 |      917.694 |    15817.659
    6658.361 |     9538.379 |    16196.740
   13714.540 |     2341.998 |    16056.537
    5901.457 |    10466.956 |    16368.413
   14077.427 |     1996.956 |    16074.383
    8693.604 |     7782.209 |    16475.813
   15785.238 |      681.478 |    16466.716
