  QueueTimes | ServiceTimes | SojournTimes

     316.276 |     2358.110 |     2674.385
     466.210 |     2161.463 |     2627.673
     468.475 |     2160.343 |     2628.819
     759.258 |     1817.376 |     2576.634
     596.927 |     2027.575 |     2624.502
     631.539 |     1993.770 |     2625.310
     594.049 |     2124.852 |     2718.901
    1811.665 |      942.726 |     2754.391
     620.176 |     2372.015 |     2992.191
     551.253 |     2657.581 |     3208.834
     404.375 |     2854.014 |     3258.389
     592.606 |     2694.504 |     3287.110
     608.659 |     2642.537 |     3251.196
     389.669 |     3148.817 |     3538.486
     535.611 |     3156.867 |     3692.477
     534.631 |     3406.677 |     3941.308
     512.342 |      810.725 |     1323.067
    2008.176 |     1669.502 |     3677.677
     192.130 |     1230.331 |     1422.461
    1831.036 |     1935.998 |     3767.035
     179.707 |     1216.325 |     1396.032
     770.941 |      734.429 |     1505.370
     423.855 |     3763.856 |     4187.711
     787.432 |      787.575 |     1575.006
      50.989 |     1675.623 |     1726.611
    2234.662 |     1896.372 |     4131.034
    1293.394 |      482.832 |     1776.225
     524.311 |     3955.998 |     4480.309
     496.376 |     1802.367 |     2298.742
    2320.034 |     2414.402 |     4734.436
     897.807 |     4041.210 |     4939.017
    2256.457 |     2480.022 |     4736.478
     278.480 |     2180.688 |     2459.168
     582.180 |     4288.069 |     4870.249
    1484.973 |      831.035 |     2316.007
    1269.526 |     1140.437 |     2409.962
     679.525 |     2001.095 |     2680.620
     680.680 |     4508.008 |     5188.688
    1850.099 |     3303.462 |     5153.560
     357.335 |     2422.593 |     2779.927
     639.698 |     4607.049 |     5246.747
    1893.201 |     3520.281 |     5413.482
    1326.762 |     1607.846 |     2934.607
     461.445 |     5230.364 |     5691.808
    1257.984 |     1717.233 |     2975.218
     271.983 |     2839.033 |     3111.016
    1281.338 |     1725.309 |     3006.647
    2166.240 |      828.439 |     2994.679
     737.251 |     2550.353 |     3287.604
    2250.692 |      828.624 |     3079.317
    1239.080 |     2169.690 |     3408.771
    1605.787 |     1762.868 |     3368.655
    2287.960 |     1043.553 |     3331.513
     949.249 |     2637.547 |     3586.797
    2214.706 |     1300.114 |     3514.820
    1469.631 |     2129.918 |     3599.548
    1268.495 |     2333.475 |     3601.971
     765.724 |     2975.773 |     3741.497
    2226.505 |     4267.138 |     6493.643
    1763.306 |     2364.762 |     4128.068
    1864.167 |     2472.520 |     4336.686
     242.071 |     4321.059 |     4563.131
    2888.129 |     1321.764 |     4209.893
    3403.394 |      839.955 |     4243.349
    2309.244 |     2219.179 |     4528.424
    2528.958 |     1978.333 |     4507.291
    2723.912 |     1816.056 |     4539.967
    2708.219 |     1858.374 |     4566.593
    3152.782 |     1456.862 |     4609.643
    2861.146 |     2037.080 |     4898.225
    3400.564 |     1428.253 |     4828.817
    2597.551 |     2394.601 |     4992.153
    4095.125 |      687.091 |     4782.216
    1476.579 |     3625.427 |     5102.007
    3015.155 |     1958.507 |     4973.662
    2169.723 |     3109.915 |     5279.638
    4406.061 |      637.105 |     5043.166
    3157.970 |     2055.320 |     5213.290
    2548.236 |     2861.758 |     5409.994
    4325.370 |      842.674 |     5168.044
    4061.951 |     1153.705 |     5215.656
    4314.878 |      887.278 |     5202.156
    3234.337 |     2075.444 |     5309.781
    2513.107 |     2927.122 |     5440.229
    2153.653 |     3375.546 |     5529.199
    4173.618 |     1136.164 |     5309.783
    2169.733 |     3505.411 |     5675.144
    2799.900 |     2892.428 |     5692.328
    4729.564 |      692.907 |     5422.471
    4937.242 |      482.758 |     5420.000
    2856.332 |     2958.140 |     5814.472
    5013.303 |      511.157 |     5524.460
    2887.082 |     3201.279 |     6088.362
    3475.888 |     2483.712 |     5959.599
    2922.410 |     3106.961 |     6029.371
    4904.959 |      868.639 |     5773.598
    4261.417 |     1663.188 |     5924.605
    3448.734 |     2509.860 |     5958.593
    3492.224 |     2485.731 |     5977.956
    5122.145 |      602.557 |     5724.702
    5269.047 |      650.154 |     5919.201
    2051.002 |     4451.007 |     6502.010
    5042.365 |     1006.303 |     6048.668
    5038.623 |     1038.751 |     6077.374
    5571.106 |      447.824 |     6018.930
    4678.123 |     1729.929 |     6408.052
    2965.106 |     3726.954 |     6692.060
    5021.401 |     1366.619 |     6388.020
    4736.376 |     1880.205 |     6616.580
    5579.811 |      800.323 |     6380.135
    5393.023 |     1193.862 |     6586.885
    6026.610 |      718.108 |     6744.718
    4394.153 |     2774.122 |     7168.274
    5588.145 |     1302.748 |     6890.893
    5409.366 |     1547.177 |     6956.543
    5574.343 |     1346.877 |     6921.220
    5004.872 |     2062.230 |     7067.103
    5410.433 |     1672.013 |     7082.446
    5084.208 |     2163.479 |     7247.687
    5574.097 |     1447.296 |     7021.393
    5563.114 |     1768.550 |     7331.664
    5819.988 |     1774.433 |     7594.421
    5313.336 |     2453.906 |     7767.242
    5379.703 |     2529.966 |     7909.669
    6926.425 |      694.861 |     7621.286
    4260.687 |     3944.397 |     8205.084
    6771.103 |      832.547 |     7603.651
    6679.807 |     1059.935 |     7739.742
    5934.879 |     1959.615 |     7894.494
    5784.832 |     2184.693 |     7969.525
    4858.666 |     3665.006 |     8523.672
    6243.699 |     1827.622 |     8071.321
    4864.936 |     3704.414 |     8569.350
    6286.509 |     1901.980 |     8188.489
    7564.147 |      456.030 |     8020.177
    5279.609 |     3236.263 |     8515.872
    3887.086 |     5033.986 |     8921.072
    6669.161 |     1723.129 |     8392.291
    6100.915 |     2516.369 |     8617.284
    5592.622 |     3204.784 |     8797.406
    5836.838 |     2982.333 |     8819.172
    6106.886 |     2724.274 |     8831.160
    7371.857 |     1373.427 |     8745.283
    6684.971 |     2144.336 |     8829.308
    6644.589 |     2261.265 |     8905.854
    7393.034 |     1553.244 |     8946.278
    5967.321 |     3188.607 |     9155.928
    4676.737 |     5046.704 |     9723.441
    6695.493 |     2700.707 |     9396.200
    7990.174 |     1292.505 |     9282.678
    6785.486 |     2621.746 |     9407.232
    8407.311 |      873.276 |     9280.587
    8414.554 |     1255.274 |     9669.828
    8142.827 |     1530.741 |     9673.568
    7647.497 |     2122.821 |     9770.318
    6273.420 |     3697.217 |     9970.637
    8447.274 |     1224.177 |     9671.451
    7731.875 |     2041.319 |     9773.194
    5624.809 |     4597.089 |    10221.898
    7901.623 |     1903.095 |     9804.718
    6777.908 |     3191.172 |     9969.080
    8384.079 |     1494.295 |     9878.374
    9520.681 |      290.621 |     9811.302
    4936.792 |     5775.457 |    10712.248
    9135.959 |      901.612 |    10037.571
    9121.378 |      893.572 |    10014.950
    9126.320 |      911.356 |    10037.676
    8603.959 |     1635.604 |    10239.563
    7865.480 |     2511.468 |    10376.948
    9529.804 |      663.762 |    10193.565
    8735.883 |     1794.848 |    10530.732
    8301.431 |     2309.392 |    10610.823
    7907.318 |     2730.674 |    10637.992
    8537.634 |     2052.584 |    10590.219
    8727.507 |     2074.967 |    10802.474
    7570.072 |     3508.022 |    11078.094
    7654.672 |     3499.909 |    11154.581
    9526.818 |     1407.634 |    10934.451
    9599.707 |     1438.404 |    11038.111
   10111.995 |      826.531 |    10938.525
    7894.956 |     3446.420 |    11341.376
    8776.803 |     2423.060 |    11199.863
   10075.010 |     1024.658 |    11099.668
    9642.906 |     1732.993 |    11375.899
    7615.877 |     4029.168 |    11645.045
    9616.700 |     1805.208 |    11421.908
   10477.127 |      765.525 |    11242.652
    9604.896 |     1771.343 |    11376.239
    8866.423 |     2643.582 |    11510.006
   10498.631 |      800.440 |    11299.071
    9896.968 |     1682.569 |    11579.537
    9603.550 |     2124.876 |    11728.426
   10345.043 |     1488.284 |    11833.327
   10718.241 |     1115.379 |    11833.620
   11110.094 |      759.873 |    11869.967
   10067.921 |     2096.712 |    12164.632
   11413.700 |      673.217 |    12086.916
    6803.925 |     6025.994 |    12829.919
   11161.632 |      995.434 |    12157.067
   10524.917 |     1812.200 |    12337.117
    9631.022 |     2875.083 |    12506.105
    9591.650 |     2888.602 |    12480.252
   11198.661 |     1142.978 |    12341.640
