  QueueTimes | ServiceTimes | SojournTimes

   13255.211 |      632.039 |    13887.250
   13098.511 |      847.668 |    13946.179
   13128.485 |      904.038 |    14032.523
   11240.235 |     3193.616 |    14433.851
   13883.240 |      616.150 |    14499.390
   14102.531 |      236.341 |    14338.872
   13134.285 |     1447.525 |    14581.810
   14227.054 |      798.434 |    15025.488
   14783.800 |      329.742 |    15113.542
   14572.596 |      862.423 |    15435.019
   15038.996 |      527.412 |    15566.407
   14795.822 |      863.394 |    15659.216
   14808.401 |      825.379 |    15633.781
   14980.297 |      802.712 |    15783.009
   15132.121 |      708.697 |    15840.818
   15027.778 |      887.709 |    15915.487
   15472.479 |      586.415 |    16058.894
   15349.880 |      733.299 |    16083.179
    2141.256 |      468.766 |     2610.022
   15191.977 |     1109.282 |    16301.259
   16034.154 |      490.095 |    16524.249
    1779.328 |     1236.972 |     3016.300
   15926.354 |     1006.958 |    16933.313
   14903.471 |     1902.525 |    16805.996
    2198.162 |     1006.349 |     3204.512
   16459.510 |      550.357 |    17009.867
    2361.185 |     1011.058 |     3372.242
    2096.786 |     1547.576 |     3644.362
    3345.578 |      309.896 |     3655.475
    3436.329 |      280.224 |     3716.553
    3516.048 |      235.363 |     3751.411
    3114.937 |      712.759 |     3827.696
    3418.604 |      531.438 |     3950.043
   16032.593 |     1797.958 |    17830.551
    3718.600 |      249.050 |     3967.649
   16118.232 |     1539.200 |    17657.432
   17285.274 |      617.462 |    17902.736
    3234.044 |      867.015 |     4101.059
   16681.359 |     1304.342 |    17985.702
    3777.569 |      296.566 |     4074.135
   16716.611 |     1575.427 |    18292.038
    3352.124 |      945.562 |     4297.686
    3975.808 |      607.110 |     4582.917
    4204.194 |      536.347 |     4740.542
   17950.685 |      699.129 |    18649.814
    4102.319 |      634.577 |     4736.896
    3217.231 |     1593.329 |     4810.560
    3691.902 |     1012.789 |     4704.691
    3640.532 |     1231.586 |     4872.119
    4503.058 |      442.448 |     4945.506
    4137.480 |     1120.060 |     5257.541
    4584.780 |      765.316 |     5350.096
    4662.334 |      849.509 |     5511.843
   18200.663 |     1125.346 |    19326.009
    4997.163 |      492.319 |     5489.481
    3758.942 |     1839.837 |     5598.779
    4818.584 |      844.774 |     5663.358
   19505.116 |      511.062 |    20016.178
    4914.532 |     1143.473 |     6058.005
    5182.361 |      684.172 |     5866.533
    3943.795 |     1981.881 |     5925.676
    4217.437 |     1749.369 |     5966.807
    4164.652 |     1761.183 |     5925.835
    5664.558 |      505.772 |     6170.331
    5014.264 |     1018.254 |     6032.519
    4567.787 |     1447.079 |     6014.866
    4974.667 |     1012.205 |     5986.873
    3789.875 |     2363.479 |     6153.354
    5546.448 |      854.811 |     6401.259
    4183.654 |     1991.119 |     6174.774
    4678.771 |     1453.431 |     6132.202
    4765.495 |     1422.851 |     6188.347
    4168.118 |     2068.687 |     6236.806
    4151.594 |     2080.623 |     6232.217
    4493.169 |     1702.370 |     6195.540
    3478.354 |     2985.101 |     6463.455
    4590.383 |     1904.216 |     6494.600
    5250.977 |     1198.070 |     6449.048
    5105.251 |     1358.064 |     6463.316
    3730.463 |     2902.472 |     6632.935
    4518.648 |     2008.771 |     6527.419
    6399.115 |      751.163 |     7150.277
    5647.021 |     1600.176 |     7247.197
    4860.200 |     2461.019 |     7321.220
    6182.666 |      893.059 |     7075.725
    5953.451 |     1225.878 |     7179.329
    5511.589 |     1746.259 |     7257.847
    6296.241 |      720.481 |     7016.722
    6480.776 |      694.076 |     7174.852
    5770.412 |     1449.033 |     7219.445
    6195.321 |      896.773 |     7092.094
    5829.802 |     1428.612 |     7258.415
    5745.094 |     1517.943 |     7263.036
    6360.342 |      902.290 |     7262.632
    6687.254 |      459.722 |     7146.975
    5359.262 |     2033.290 |     7392.553
    5393.600 |     2002.316 |     7395.916
    6098.738 |     1244.413 |     7343.151
    4783.488 |     2922.262 |     7705.750
    5630.398 |     2117.800 |     7748.198
    6975.163 |      461.166 |     7436.329
    7889.320 |      620.337 |     8509.658
    6224.011 |     2734.518 |     8958.529
    8954.220 |     1062.307 |    10016.526
    8708.474 |     2317.324 |    11025.798
    9763.797 |     1096.172 |    10859.969
    8965.360 |     2190.802 |    11156.162
    9723.761 |     1462.903 |    11186.664
    9726.049 |     1489.722 |    11215.771
    9579.958 |     1745.553 |    11325.511
    8455.511 |     3011.698 |    11467.209
    9771.293 |     1397.764 |    11169.057
    8357.243 |     3181.736 |    11538.979
    9454.053 |     1757.546 |    11211.599
    9114.596 |     2219.200 |    11333.795
    7823.108 |     3737.754 |    11560.862
    9248.488 |     1929.124 |    11177.612
   10073.813 |     1081.609 |    11155.422
    6879.750 |     4738.158 |    11617.908
    7656.627 |     3653.852 |    11310.480
   10034.515 |     1284.925 |    11319.439
   10721.371 |      693.831 |    11415.202
    9459.951 |     2067.722 |    11527.673
    8461.294 |     3102.454 |    11563.748
    8365.831 |     3237.576 |    11603.407
   10393.723 |      848.117 |    11241.840
    9588.399 |     1908.441 |    11496.840
   10276.774 |     1163.919 |    11440.693
    9777.503 |     1693.764 |    11471.267
    9569.741 |     1861.403 |    11431.144
    8071.470 |     3501.806 |    11573.276
   10049.774 |     1327.444 |    11377.218
    9278.755 |     2293.833 |    11572.588
    9813.051 |     1648.043 |    11461.094
   11133.632 |      261.289 |    11394.921
   10730.023 |      660.090 |    11390.113
   10980.934 |      417.297 |    11398.231
   11042.919 |      798.337 |    11841.256
   10958.520 |      959.436 |    11917.956
   11050.514 |     1295.169 |    12345.683
   11053.264 |     1303.385 |    12356.649
   11077.781 |     1397.486 |    12475.266
   11346.030 |     1164.164 |    12510.194
   11007.476 |     1717.590 |    12725.066
   10969.376 |     1932.305 |    12901.680
   11015.880 |     2110.526 |    13126.406
   10930.685 |     2277.981 |    13208.666
   11309.775 |     2026.174 |    13335.949
   11895.432 |     2170.006 |    14065.438
   11932.340 |     2083.752 |    14016.092
   12251.571 |     2191.402 |    14442.973
   13382.229 |     1063.873 |    14446.102
   13093.475 |     1370.043 |    14463.518
   12202.866 |     2589.748 |    14792.614
   12160.772 |     2441.698 |    14602.470
   12565.437 |     1996.213 |    14561.650
   12903.623 |     1547.972 |    14451.595
   11510.658 |     3199.223 |    14709.882
   13300.580 |     1220.403 |    14520.982
   12917.264 |     1620.877 |    14538.141
   11481.216 |     3152.326 |    14633.541
   12841.110 |     1707.674 |    14548.784
   11428.784 |     3475.910 |    14904.695
   12535.071 |     2324.226 |    14859.297
   11366.360 |     3377.420 |    14743.781
   12542.457 |     2455.213 |    14997.670
   12441.905 |     2362.401 |    14804.306
   13065.462 |     1608.672 |    14674.134
   11720.753 |     3222.157 |    14942.911
   11625.949 |     3263.981 |    14889.930
   13415.436 |     1342.588 |    14758.025
   13563.253 |     1202.336 |    14765.590
   13097.398 |     2025.344 |    15122.742
   11534.583 |     3653.800 |    15188.383
   12381.869 |     2473.385 |    14855.254
   11719.772 |     3445.325 |    15165.096
   14291.130 |      482.607 |    14773.737
   14571.541 |      184.192 |    14755.733
   14459.696 |      324.562 |    14784.258
   12906.030 |     2194.007 |    15100.037
   14289.842 |      565.410 |    14855.252
   14425.512 |      450.412 |    14875.924
   15332.243 |      693.938 |    16026.180
   12485.929 |     4321.730 |    16807.660
   15844.760 |      577.827 |    16422.587
   15702.263 |      733.139 |    16435.402
   15123.192 |     1477.618 |    16600.809
   12555.101 |     4373.585 |    16928.687
   14879.661 |     1729.456 |    16609.117
   14925.402 |     1658.868 |    16584.271
   14863.177 |     1701.506 |    16564.683
   15075.967 |     1638.521 |    16714.487
   16404.880 |      482.835 |    16887.714
   15169.934 |     2145.570 |    17315.504
   15741.364 |     1846.044 |    17587.407
   16427.672 |     1158.614 |    17586.286
   16513.030 |     1321.258 |    17834.289
   16445.876 |     1647.964 |    18093.840
   15979.372 |     2205.262 |    18184.634
   16436.119 |     1830.662 |    18266.781
   15969.448 |     2196.246 |    18165.694
   15736.810 |     2562.997 |    18299.807
   15762.406 |     2457.584 |    18219.990
   17387.477 |      738.402 |    18125.879
   16909.301 |     1357.670 |    18266.971
   17262.853 |      958.015 |    18220.868
   15239.795 |     3308.807 |    18548.602
   17189.284 |     1173.447 |    18362.731
   17286.267 |     1552.499 |    18838.766
   17975.225 |      576.238 |    18551.463
   17312.480 |     1240.945 |    18553.425
   17234.169 |     2358.930 |    19593.099
   19194.021 |      390.500 |    19584.520
   18951.441 |      621.286 |    19572.727
   18936.534 |      659.053 |    19595.587
   19223.442 |      356.487 |    19579.929
   18654.007 |      941.046 |    19595.053
   18845.596 |      838.966 |    19684.562
   18922.825 |     1040.972 |    19963.797
   18221.033 |     1943.702 |    20164.736
   20033.937 |      650.734 |    20684.671
   20117.766 |     1084.847 |    21202.613
   20512.781 |      740.813 |    21253.595
   20407.908 |      898.771 |    21306.678
   20666.392 |      806.043 |    21472.435
   20976.515 |     1270.766 |    22247.281
   22030.256 |      731.807 |    22762.063
   22398.800 |      174.317 |    22573.116
   22444.723 |      184.969 |    22629.691
   21926.873 |     1147.029 |    23073.902
   21303.128 |     1421.316 |    22724.444
   21182.978 |     1977.701 |    23160.679
   22088.286 |      601.054 |    22689.341
   22253.300 |      501.234 |    22754.534
   21499.480 |     1351.167 |    22850.647
   21958.801 |      835.130 |    22793.931
   22449.275 |      405.282 |    22854.558
   22321.501 |      732.745 |    23054.247
   19733.460 |     3800.487 |    23533.947
   21869.587 |     1500.597 |    23370.184
   22648.550 |      959.066 |    23607.616
   21826.402 |     1742.673 |    23569.075
   23073.378 |      467.812 |    23541.191
   23142.634 |      368.377 |    23511.011
   22971.518 |      587.040 |    23558.558
   22986.905 |      768.844 |    23755.749
   21970.981 |     1644.337 |    23615.319
   22067.720 |     1516.925 |    23584.646
   22755.659 |      990.178 |    23745.837
   23074.193 |      816.405 |    23890.597
   23148.563 |      489.207 |    23637.770
   21104.292 |     3281.345 |    24385.636
   22880.000 |      889.142 |    23769.142
   23005.313 |      944.768 |    23950.081
   22210.048 |     1691.916 |    23901.965
   21969.896 |     1941.883 |    23911.778
   22979.848 |      872.479 |    23852.328
   22917.763 |      869.662 |    23787.426
   22962.236 |      850.906 |    23813.142
   23534.686 |      459.086 |    23993.772
   22766.762 |     1307.734 |    24074.496
   22495.310 |     2024.614 |    24519.924
   23533.145 |      228.946 |    23762.091
   23662.350 |      278.114 |    23940.464
   23386.396 |      424.326 |    23810.723
   23239.530 |      676.276 |    23915.806
   23507.444 |      324.026 |    23831.470
   22280.036 |     1769.590 |    24049.625
   22618.567 |     1348.876 |    23967.443
   22531.540 |     1548.317 |    24079.857
   23347.715 |      562.827 |    23910.542
   22509.675 |     1634.974 |    24144.648
   23646.265 |      399.432 |    24045.697
   23279.274 |     1112.898 |    24392.172
   23234.152 |     1205.473 |    24439.624
   23337.203 |     1108.497 |    24445.700
   23492.429 |      942.230 |    24434.659
   22685.947 |     1958.470 |    24644.417
   23664.139 |      664.702 |    24328.841
   23502.128 |     1044.152 |    24546.279
   23582.636 |      917.807 |    24500.444
   23601.213 |     1003.297 |    24604.510
   23602.173 |     1118.129 |    24720.302
   23587.426 |     1305.289 |    24892.715
   23666.473 |     1209.884 |    24876.358
   24408.387 |      454.967 |    24863.355
   23609.397 |     1477.350 |    25086.747
   23596.057 |     1587.002 |    25183.059
   23064.686 |     2312.322 |    25377.008
   23594.995 |     1568.975 |    25163.971
   23608.878 |     1781.919 |    25390.797
   24125.025 |     1220.632 |    25345.657
   24539.404 |     1082.012 |    25621.416
   24592.642 |     1331.328 |    25923.970
   25082.943 |      851.042 |    25933.985
   25391.087 |      514.538 |    25905.625
   24008.084 |     2079.457 |    26087.541
   23562.831 |     2725.245 |    26288.076
   23713.741 |     2554.394 |    26268.136
   24291.171 |     1744.769 |    26035.940
   24841.094 |     1165.652 |    26006.746
   24444.494 |     1575.901 |    26020.394
   24239.508 |     1881.679 |    26121.187
   24732.224 |     1435.232 |    26167.456
   23944.991 |     2316.687 |    26261.678
   25121.335 |     2305.017 |    27426.352
   25501.340 |     2016.291 |    27517.631
   27198.484 |      473.188 |    27671.672
   27147.364 |      520.405 |    27667.769
   26707.952 |     1011.641 |    27719.593
   24736.006 |     3431.280 |    28167.286
   25365.903 |     2627.932 |    27993.836
   27155.078 |      946.823 |    28101.902
   24774.586 |     3699.817 |    28474.403
   24704.452 |     3728.649 |    28433.102
   24678.979 |     3813.400 |    28492.379
   27055.056 |     1112.222 |    28167.279
   24742.495 |     4066.884 |    28809.378
   27022.274 |     1404.598 |    28426.873
   28062.537 |      409.303 |    28471.840
   24711.376 |     4050.786 |    28762.162
   26842.310 |     1667.119 |    28509.429
   27906.418 |      630.683 |    28537.101
   26836.785 |     1751.648 |    28588.434
   26563.047 |     2059.599 |    28622.646
   27463.764 |     1025.864 |    28489.628
   27399.369 |     1152.324 |    28551.692
   27704.258 |      951.427 |    28655.685
   28067.189 |      424.319 |    28491.507
   26282.534 |     2407.104 |    28689.637
   26158.681 |     2553.089 |    28711.769
   28392.597 |      218.521 |    28611.119
   26779.230 |     2056.264 |    28835.494
   28209.486 |      407.243 |    28616.730
   25128.477 |     4035.459 |    29163.936
   27573.851 |     1116.806 |    28690.656
   25846.265 |     3057.145 |    28903.410
   28237.600 |      488.367 |    28725.968
   28460.702 |      250.408 |    28711.110
   27988.053 |      725.168 |    28713.221
   27227.724 |     1539.865 |    28767.588
   28308.035 |      377.518 |    28685.553
   25416.218 |     3629.429 |    29045.647
   28283.291 |      820.273 |    29103.564
   28429.915 |      601.518 |    29031.433
   28295.242 |      839.391 |    29134.633
   28453.591 |      686.905 |    29140.496
   28276.131 |     1082.289 |    29358.420
   27651.851 |     1901.727 |    29553.578
   28342.091 |     1173.675 |    29515.766
   27638.326 |     2050.384 |    29688.710
   28402.401 |     1007.118 |    29409.519
   28237.761 |     1428.465 |    29666.226
   28547.568 |     1067.862 |    29615.430
   28627.506 |     1323.042 |    29950.548
   28453.958 |     1649.196 |    30103.154
   28530.818 |     1668.807 |    30199.625
   29399.039 |      500.535 |    29899.573
   28259.627 |     1845.898 |    30105.524
   27990.013 |     2300.053 |    30290.066
   28264.374 |     1983.189 |    30247.563
   28992.699 |     1080.757 |    30073.456
   28414.965 |     1781.825 |    30196.790
   28403.076 |     1971.283 |    30374.359
   28346.158 |     2084.609 |    30430.767
   29383.186 |      807.940 |    30191.126
   28300.172 |     2211.069 |    30511.242
   28406.730 |     2247.686 |    30654.416
   28398.020 |     2313.035 |    30711.055
   28335.838 |     2428.246 |    30764.085
   28417.023 |     2371.010 |    30788.033
   29401.667 |     1497.081 |    30898.748
   28230.443 |     3033.588 |    31264.031
   28072.273 |     3283.665 |    31355.937
   30323.437 |      579.159 |    30902.597
   28998.230 |     2115.640 |    31113.871
   29415.478 |     1715.625 |    31131.103
   29195.855 |     2065.482 |    31261.337
   28381.346 |     3082.030 |    31463.376
   30069.576 |     1257.783 |    31327.359
   29935.749 |     1434.881 |    31370.630
   30552.035 |      757.095 |    31309.130
   29969.372 |     1399.777 |    31369.149
   30581.286 |      748.960 |    31330.246
   28401.943 |     3239.430 |    31641.373
