  QueueTimes | ServiceTimes | SojournTimes

       0.090 |     1932.938 |     1933.028
       0.067 |     2018.653 |     2018.720
       0.088 |     1842.981 |     1843.069
       0.090 |     1852.028 |     1852.118
       0.094 |     1924.011 |     1924.105
       0.075 |     2038.652 |     2038.727
       0.080 |     2108.890 |     2108.970
       0.083 |     2285.219 |     2285.303
    1088.860 |     1406.324 |     2495.184
       0.088 |     2711.517 |     2711.605
       0.080 |     2701.721 |     2701.802
       0.087 |     2702.604 |     2702.691
       0.087 |     2989.470 |     2989.557
       0.072 |     2953.946 |     2954.018
       0.093 |     2936.401 |     2936.494
      46.766 |     1112.845 |     1159.611
     859.108 |     1993.467 |     2852.575
    1412.750 |     1464.885 |     2877.634
    1153.922 |     1790.958 |     2944.880
       0.092 |     3223.948 |     3224.040
      73.289 |     1258.367 |     1331.656
       0.064 |     1503.646 |     1503.710
     933.939 |      554.114 |     1488.053
     525.522 |     1024.589 |     1550.111
    1016.783 |      461.049 |     1477.832
     871.829 |      789.791 |     1661.620
       0.107 |     3715.675 |     3715.781
    1415.319 |     2086.047 |     3501.366
       0.087 |     3705.638 |     3705.725
    1613.760 |     2056.178 |     3669.938
      63.440 |     1989.560 |     2053.001
    1348.187 |     2468.058 |     3816.244
       6.056 |     2210.143 |     2216.199
       0.096 |     4116.431 |     4116.526
       0.094 |     4038.011 |     4038.105
    1361.253 |      698.450 |     2059.703
    1071.426 |     1143.529 |     2214.955
     785.078 |     1707.359 |     2492.437
    1098.439 |     1396.498 |     2494.937
       0.099 |     4477.302 |     4477.401
    1751.128 |      726.635 |     2477.762
       0.078 |     4727.844 |     4727.922
       0.090 |     4556.587 |     4556.677
     753.964 |     2073.088 |     2827.052
    1359.550 |     3299.877 |     4659.427
    1094.362 |     1740.297 |     2834.658
    1023.133 |     1999.948 |     3023.082
    1977.626 |      891.189 |     2868.815
    1976.316 |      889.724 |     2866.040
     287.258 |     2877.113 |     3164.370
    1468.282 |     3642.891 |     5111.173
    1365.993 |     1971.435 |     3337.428
    1776.804 |     1522.196 |     3299.000
     786.145 |     2733.333 |     3519.478
    1280.142 |     2142.193 |     3422.336
     985.576 |     2755.463 |     3741.039
     287.629 |     3557.969 |     3845.598
    1156.287 |     2848.186 |     4004.473
    2038.216 |     1850.632 |     3888.848
     144.475 |     4155.136 |     4299.612
    2419.294 |     1568.693 |     3987.986
    1588.802 |     2576.316 |     4165.118
    2713.089 |     1257.963 |     3971.053
    1989.836 |     2180.788 |     4170.624
    1361.960 |     3016.282 |     4378.243
    1022.511 |     3480.031 |     4502.543
    3111.729 |     1232.027 |     4343.757
    1509.522 |     3147.457 |     4656.979
    3809.861 |      566.634 |     4376.495
    2225.926 |     2500.553 |     4726.479
    3008.434 |     1671.822 |     4680.255
    3680.074 |      929.998 |     4610.072
    1864.015 |     2992.112 |     4856.128
    1581.757 |     3309.198 |     4890.954
    4313.023 |      333.247 |     4646.270
    2308.077 |     2619.384 |     4927.460
    2476.475 |     2417.799 |     4894.274
    2399.244 |     2559.779 |     4959.022
    3904.585 |      904.826 |     4809.410
    1917.919 |     3194.185 |     5112.104
    3801.538 |     1096.438 |     4897.976
    2745.769 |     2299.257 |     5045.027
    2401.936 |     2779.189 |     5181.125
    4050.201 |      950.489 |     5000.691
    3860.153 |     1183.948 |     5044.100
    2474.339 |     2804.607 |     5278.946
    3141.723 |     2084.233 |     5225.956
    3129.802 |     2118.342 |     5248.143
    2568.671 |     2754.798 |     5323.469
    4587.366 |      484.347 |     5071.713
    3858.171 |     1590.669 |     5448.841
    4662.569 |      640.543 |     5303.112
    3112.339 |     2462.049 |     5574.388
    4769.308 |      572.401 |     5341.710
    2619.066 |     3102.069 |     5721.134
    4542.442 |      897.337 |     5439.779
    2730.241 |     3084.885 |     5815.126
    4490.120 |     1102.191 |     5592.310
    3362.478 |     2364.652 |     5727.130
    1574.429 |     4507.186 |     6081.614
    4916.586 |      656.043 |     5572.629
    4694.230 |     1007.121 |     5701.351
    3345.526 |     2653.379 |     5998.905
    5222.256 |      436.734 |     5658.990
    4809.124 |     1082.721 |     5891.844
    4812.712 |     1220.054 |     6032.766
    5163.926 |      977.530 |     6141.456
    5223.881 |      857.640 |     6081.520
    2734.304 |     3821.138 |     6555.442
    4500.651 |     1901.454 |     6402.105
    4496.983 |     2007.052 |     6504.036
    4923.575 |     1450.552 |     6374.126
    5513.861 |      698.155 |     6212.016
    5238.032 |     1153.255 |     6391.288
    4964.968 |     1878.749 |     6843.717
    5177.618 |     1640.177 |     6817.795
    4739.007 |     2273.500 |     7012.507
    6081.508 |      651.366 |     6732.874
    4861.079 |     2185.171 |     7046.250
    4310.745 |     3078.925 |     7389.670
    5542.661 |     1565.623 |     7108.284
    4585.605 |     2820.531 |     7406.136
    5314.177 |     1878.269 |     7192.446
    5327.377 |     1967.062 |     7294.439
    4638.809 |     2858.370 |     7497.179
    4224.945 |     3494.288 |     7719.233
    5385.797 |     2196.758 |     7582.555
    6980.688 |      425.732 |     7406.420
    5321.699 |     2403.377 |     7725.076
    5930.410 |     1799.521 |     7729.931
    4036.895 |     4356.237 |     8393.132
    6798.072 |     1048.302 |     7846.374
    4413.682 |     4014.806 |     8428.488
    6122.255 |     1935.642 |     8057.897
    4919.478 |     3491.855 |     8411.333
    5453.172 |     2879.134 |     8332.306
    5661.800 |     2730.226 |     8392.025
    5946.688 |     2468.978 |     8415.666
    5932.951 |     2542.301 |     8475.252
    4499.854 |     4402.375 |     8902.229
    6548.576 |     1909.136 |     8457.712
    6171.851 |     2318.908 |     8490.759
    6098.911 |     2438.962 |     8537.874
    5768.470 |     2911.936 |     8680.405
    5396.313 |     3378.483 |     8774.797
    6907.853 |     1628.172 |     8536.025
    6647.069 |     1925.681 |     8572.750
    7763.202 |     1319.911 |     9083.113
    7976.170 |     1182.129 |     9158.299
    4572.643 |     5240.763 |     9813.406
    8184.895 |      943.326 |     9128.221
    6615.279 |     2760.024 |     9375.303
    8066.018 |     1200.603 |     9266.621
    6894.728 |     2548.715 |     9443.443
    8174.951 |     1223.878 |     9398.830
    5995.300 |     3793.946 |     9789.245
    7376.922 |     2238.303 |     9615.225
    8156.281 |     1387.448 |     9543.729
    7064.354 |     2674.853 |     9739.207
    7668.461 |     2034.356 |     9702.817
    6522.938 |     3415.813 |     9938.751
    5200.358 |     5074.079 |    10274.437
    8177.367 |     1618.557 |     9795.924
    7740.545 |     2188.497 |     9929.042
    7377.516 |     2626.212 |    10003.728
    8182.933 |     1668.642 |     9851.575
    3681.176 |     7163.641 |    10844.817
    9040.309 |      890.489 |     9930.798
    8283.688 |     1730.709 |    10014.397
    8943.636 |     1081.403 |    10025.039
    9030.750 |     1068.077 |    10098.827
    9344.073 |      775.435 |    10119.508
    9378.786 |      775.376 |    10154.162
    7000.042 |     3465.810 |    10465.852
    8116.344 |     2236.069 |    10352.414
    7320.978 |     3258.129 |    10579.106
    8328.549 |     2116.256 |    10444.805
