  QueueTimes | ServiceTimes | SojournTimes

     189.569 |     2073.429 |     2262.998
     215.736 |     1935.418 |     2151.153
     215.867 |     1998.869 |     2214.735
      95.970 |     2450.447 |     2546.417
     237.817 |     2108.435 |     2346.252
     190.790 |     2333.876 |     2524.666
    1367.795 |      930.024 |     2297.819
     233.515 |     2143.805 |     2377.320
     269.877 |     2184.341 |     2454.218
     221.992 |     2545.346 |     2767.338
     201.117 |     2785.152 |     2986.269
     153.166 |     3102.245 |     3255.411
    1075.009 |     1982.484 |     3057.493
     246.333 |     2953.179 |     3199.512
     224.007 |     3089.145 |     3313.152
     214.372 |     3076.763 |     3291.136
     131.001 |     1097.020 |     1228.022
    1611.728 |     1619.129 |     3230.857
     355.662 |     1010.273 |     1365.936
     201.705 |     3529.769 |     3731.474
      12.312 |     1512.197 |     1524.509
     248.087 |     1279.298 |     1527.385
     925.297 |      544.445 |     1469.742
    1043.611 |      489.076 |     1532.687
     209.358 |     3645.980 |     3855.338
     982.363 |      607.041 |     1589.405
     208.047 |     3636.145 |     3844.192
    1579.888 |     2427.794 |     4007.681
     154.812 |     1957.869 |     2112.680
    1605.637 |     2511.922 |     4117.559
      45.301 |     2221.031 |     2266.332
    1647.480 |     2561.544 |     4209.024
    1858.502 |     2380.128 |     4238.631
    1427.581 |      703.765 |     2131.345
     205.211 |     4254.029 |     4459.240
    1114.622 |     1162.906 |     2277.528
     237.591 |     4397.239 |     4634.830
    1259.916 |     1194.063 |     2453.979
     165.638 |     4707.668 |     4873.307
    1450.752 |      961.059 |     2411.811
     258.896 |     4450.181 |     4709.076
     710.324 |     1918.995 |     2629.319
     411.190 |     2255.099 |     2666.290
     269.723 |     4496.981 |     4766.704
    1885.066 |      821.000 |     2706.065
    1087.426 |     1783.775 |     2871.201
     274.857 |     2690.800 |     2965.657
     272.892 |     2758.073 |     3030.966
    2104.271 |      768.668 |     2872.939
    2126.653 |      824.097 |     2950.750
    1314.835 |     1782.481 |     3097.316
    1976.081 |     1116.423 |     3092.504
    1723.068 |     3683.103 |     5406.171
     975.142 |     2404.827 |     3379.968
    1831.586 |     3656.056 |     5487.642
    1354.298 |     2082.056 |     3436.354
     750.047 |     3103.295 |     3853.341
    1320.268 |     2548.048 |     3868.317
    2624.379 |     1184.723 |     3809.102
    1094.484 |     3041.234 |     4135.718
    2288.819 |     1708.700 |     3997.520
    2181.690 |     2014.121 |     4195.812
    2341.562 |     1850.514 |     4192.076
    1465.783 |     2862.446 |     4328.229
    2131.208 |     2227.359 |     4358.567
     242.265 |     4433.944 |     4676.209
    2582.252 |     1832.490 |     4414.742
    1345.810 |     3254.495 |     4600.306
    1453.444 |     3154.692 |     4608.135
    3029.635 |     1452.736 |     4482.370
    2906.474 |     1618.616 |     4525.091
    3795.134 |      664.783 |     4459.917
    2299.103 |     2394.823 |     4693.927
    3544.248 |     1101.244 |     4645.493
    2834.805 |     1905.226 |     4740.031
    2334.228 |     2667.268 |     5001.497
    2378.608 |     2650.312 |     5028.920
    2824.765 |     2165.990 |     4990.755
    4246.769 |      661.169 |     4907.938
    2341.725 |     2780.597 |     5122.322
    4020.966 |      940.433 |     4961.399
    4138.400 |      853.289 |     4991.689
    2338.744 |     2926.700 |     5265.443
    3739.120 |     1350.232 |     5089.352
    2992.338 |     2306.902 |     5299.240
    4386.149 |      751.892 |     5138.041
    4729.968 |      456.790 |     5186.758
    4007.947 |     1389.620 |     5397.567
    4760.098 |      513.540 |     5273.638
    3133.991 |     2426.282 |     5560.273
    3069.089 |     2553.003 |     5622.092
    1847.197 |     4010.200 |     5857.397
    2600.003 |     3159.425 |     5759.428
    2724.317 |     2999.032 |     5723.348
    1979.036 |     3944.676 |     5923.713
    4509.866 |     1014.707 |     5524.573
    2590.530 |     3347.444 |     5937.974
    3983.462 |     1853.725 |     5837.186
    4850.091 |      785.222 |     5635.313
    4789.682 |      871.291 |     5660.973
    5093.834 |      591.835 |     5685.669
    3409.623 |     2592.785 |     6002.408
    5297.077 |      582.462 |     5879.539
    4985.939 |     1154.083 |     6140.022
    2017.283 |     4781.831 |     6799.114
    5330.286 |      859.943 |     6190.229
    4864.084 |     1541.405 |     6405.488
    4517.178 |     2283.478 |     6800.656
    1766.919 |     5472.964 |     7239.883
    5325.334 |     1323.012 |     6648.346
    5286.564 |     1427.260 |     6713.824
    5774.287 |      822.477 |     6596.764
    4822.523 |     2024.899 |     6847.423
    4362.425 |     2639.972 |     7002.397
    5308.594 |     1579.064 |     6887.658
    5269.752 |     1681.865 |     6951.617
    5155.370 |     2003.447 |     7158.817
    5014.534 |     2158.025 |     7172.559
    4255.655 |     3148.587 |     7404.243
    5502.525 |     1645.947 |     7148.473
    4241.678 |     3327.309 |     7568.987
    4765.219 |     2675.157 |     7440.375
    5466.350 |     1899.794 |     7366.144
    4324.170 |     3347.078 |     7671.247
    5464.909 |     1966.042 |     7430.951
    5458.770 |     2043.753 |     7502.523
    4086.645 |     3878.776 |     7965.421
    4743.206 |     3121.747 |     7864.953
    6498.208 |     1054.181 |     7552.389
    6522.502 |     1119.403 |     7641.905
    5214.001 |     2699.719 |     7913.720
    5931.258 |     1830.486 |     7761.743
    7086.255 |      554.066 |     7640.321
    6938.817 |      857.629 |     7796.447
    6409.085 |     1590.776 |     7999.861
    6629.090 |     1516.740 |     8145.830
    5543.485 |     2939.594 |     8483.079
    5447.031 |     3080.851 |     8527.882
    6524.973 |     1881.493 |     8406.466
    6958.023 |     1489.225 |     8447.249
    4671.087 |     4414.637 |     9085.724
    6074.542 |     2802.655 |     8877.197
    6536.703 |     2281.529 |     8818.233
    6135.262 |     2830.827 |     8966.089
    6832.148 |     2003.216 |     8835.364
    3731.993 |     5786.879 |     9518.872
    4361.072 |     5097.363 |     9458.435
    6458.688 |     2616.365 |     9075.054
    6785.740 |     2363.094 |     9148.834
    6952.805 |     2185.223 |     9138.028
    7343.841 |     1762.210 |     9106.050
    7941.926 |     1150.901 |     9092.827
    7575.701 |     1555.942 |     9131.643
    6620.392 |     2739.561 |     9359.954
    8133.104 |     1165.471 |     9298.576
    8383.370 |      864.853 |     9248.223
    8307.802 |     1070.306 |     9378.108
    7469.367 |     1991.807 |     9461.175
    9002.845 |      498.892 |     9501.737
    9226.391 |      266.024 |     9492.414
    7424.409 |     2313.926 |     9738.335
    6076.693 |     3955.179 |    10031.872
    8698.646 |      955.130 |     9653.776
    5292.053 |     5068.764 |    10360.817
    8135.024 |     1714.855 |     9849.879
    7288.772 |     2721.857 |    10010.629
    8877.358 |     1014.422 |     9891.781
